49-305,FUP,Brzeg 1,Brzeg,Jana Brzechwy,3
49-304,FUP,Brzeg 1,Brzeg,Chocimska,7
49-306,FUP,Brzeg 1,Brzeg,Plac Zamkowy,5
49-313,FUP,Brzeg 1,Lubsza,Kamienna,1
49-300,FUP,Brzeg 1,Skarbimierz-Osiedle,Parkowa,8 A
49-302,UP,Brzeg 2,Brzeg,Plac Dworcowy,4
56-120,UP,Brzeg Dolny 1,Brzeg Dolny,Kolejowa,17
56-122,FUP,Brzeg Dolny 1,Brzeg Dolny,Osiedlowa,1
56-120,FUP,Brzeg Dolny 1,Brzeg Dolny,Zwycięstwa,9
32-800,UP,Brzesko 1,Brzesko,Tadeusza Kościuszki,5
32-825,FUP,Brzesko 1,Borzęcin,,583 G
32-810,FUP,Brzesko 1,Brzesko,Dworcowa,1 A
32-800,FUP,Brzesko 1,Brzesko,Partyzantów,1 A
32-860,FUP,Brzesko 1,Czchów,Armii Krajowej,8
32-864,FUP,Brzesko 1,Gnojnik,,430
32-861,FUP,Brzesko 1,Iwkowa,,509
32-822,FUP,Brzesko 1,Strzelce Wielkie,,47
32-820,FUP,Brzesko 1,Szczurowa,Rynek,1
32-852,FUP,Brzesko 1,Wola Dębińska,,240
32-821,FUP,Brzesko 1,Zaborów,,62 A
32-620,UP,Brzeszcze,Brzeszcze,Ofiar Oświęcimia,31
32-620,FUP,Brzeszcze,Brzeszcze,Dworcowa,12
32-620,FUP,Brzeszcze,Jawiszowice,Os. Ignacego Paderewskiego,12
87-880,UP,Brześć Kujawski,Brześć Kujawski,Krakowska,14 A
95-065,AP,Brzeziny,Brzeziny,Stanisława Moniuszki,10
95-060,UP,Brzeziny k. Łodzi,Brzeziny,Adama Mickiewicza,22
95-061,FUP,Brzeziny k. Łodzi,Dmosin,,9
95-047,FUP,Brzeziny k. Łodzi,Jeżów,Brzezińska,13
95-063,FUP,Brzeziny k. Łodzi,Rogów,Żeromskiego,11
39-207,AP,Brzeźnica,Brzeźnica,Dębicka,6
87-600,AP,Brzeźno,Brzeźno,,32
77-139,AP,Brzeźno Szlacheckie,Brzeźno Szlacheckie,Szlachecka,48
39-230,UP,Brzostek,Brzostek,Szkolna,2
39-225,FUP,Brzostek,Jodłowa,,25 B
28-137,AP,Brzostków,Brzostków,,134 A
66-502,AP,Brzoza,Brzoza,,63
© Copyright by Poczta Polska S.A. Wszelkie prawa zastrzeżone.,,,,Strona 1677 / 1767,BRZ
Poczta Polska S.A.,,Oficjalny Spis Pocztowych Numerów Adresowych - lipiec 2024,,Strona 1678 / 1767,BRZ
PNA,Nazwa placówki,,Miejscowość,Ulica,Nr
87-313,UP,Brzozie,Brzozie,,35
36-200,UP,Brzozów,Brzozów,Adama Mickiewicza,10
36-200,FUP,Brzozów,Brzozów,3 Maja,55
36-204,FUP,Brzozów,Dydnia,,222
36-200,AP,Brzozów,Brzozów,Tadeusza Kościuszki,71
97-215,AP,Brzustów,Brzustów,,86
14-101,AP,Brzydowo,Brzydowo,,19
64-236,AP,Bucz,Bucz,Kasztanowa,26
32-802,AP,Bucze,Bucze,Okulicka,5
62-541,AP,Budzisław Kościelny,Budzisław Kościelny,Szkolna,15
55-312,AP,Budziszów,Budziszów,,10 B
64-840,UP,Budzyń,Budzyń,Władysława Łokietka,29
64-320,UP,Buk,Buk,Dworcowa,10
22-107,AP,Bukowa Mała,Bukowa Mała,,76
56-321,AP,Bukowice,Bukowice,Wrocławska,76
86-122,UP,Bukowiec Pomorski,Bukowiec,Dr Floriana Ceynowy,20
84-311,AP,Bukowina,Bukowina,,40 B
34-530,UP,Bukowina Tatrzańska,Bukowina Tatrzańska,Kościuszki,140
63-520,AP,Bukownica,Bukownica,,43
32-332,AP,Bukowno,Bukowno,1 Maja,74
32-203,AP,Bukowska Wola,Bukowska Wola,,9
48-340,AP,Burgrabice,Burgrabice,,187
28-100,AP,Busko-Zdrój,Busko-Zdrój,Partyzantów,22/9
